sources,ACH1,ACH2,aci1,ACI1,ACI10,ACI11,aci2,ACI2,ACI3,ACI4,ACI5,ACI6,ACI7,ACI8,ACI9,ADV1,ART1,ART2,ART3,ART4,ART5,ART6,ART7,ART8,ART9,BAC1,BAC2,BAC3,BAC4,BAC5,BAC6,BAC7,BAC8,BOR1,BRE1,BRE2,BUR1,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CUP1,CUP2,CUP3,CUR1,DEL1,DEL2,DYE1,EMP1,EMP2,ENS1,ENT1,ENT2,ENT3,ESC1,FAL1,FIC1,FLA1,FLA2,FLA3,FLA4,FLA5,FLA6,HER1,KLE1,KLE2,KLE3,KOS1,KOS2,LYS1,LYS2,MIC1,MIC2,MIC3,MIC4,OCH1,OCH2,PAE1,PAE2,PAE3,PAE4,PAE5,PAE6,par1,PAR1,PAR2,PRO1,PRO2,PSE1,PSE10,PSE11,PSE12,PSE13,PSE14,PSE15,PSE2,PSE3,PSE4,PSE5,PSE6,PSE7,PSE8,PSE9,RAL1,RAL2,RAL3,RAL4,RAL5,RAO1,RHO1,SIN1,SPH1,SPH2,SPH3,SPH4,STA1,STE1,STE2,STE3,VAR1
Glucose,0.545225,0.5479,0.578775,0.550825,0.435475,0.530625,0.0528,0.481025,0.509725,0.541475,0.5078,0.484975,0.53295,0.565775,0.548375,0.573225,0.4253,0.66925,0.4253,0.3521,0.483825,0.476325,0.46715,0.484275,0.65585,0.084275,0.47155,0.4311,0.137525,0.201175001,0.18725,0.14205,0.175425,0.140741667,0.074075002,0.145658333,0.588775,0.023516667,0.055475,0.061075,0.104925,0.431575,0.093825,0.00165,0.479275,0.0048,0.1104,0,0.141675,0.1131,0,0.42945,0.51355,0.321925,0.25725,0.10315,0.2581,0.409325,0.281475,0.4912,0.54895,0.442458333,0.47895,0.074575002,0.427124998,0.58245,0.431275,0.378375,0.3394,0.390474998,0.274,0.208025,0.485125,0.01855,0.102925,0.21925,0.110425,0.217625,0.354875,0.2595,0.08675,0.400525,0.453558333,0.10395,0.17025,0.3859,0.449925,0.5702,0.262550001,0.3816,0.515225,0.391225,0.532249999,0.41255,0.085700005,0.389075,0.298925,0.408225,0.360175,0.405875,0.268425,0.43575,0.441299998,0.49815,0.52985,0.46425,0.371,0.122450003,0.540791667,0.273849994,0.380524996,0.39145,0.548949999,0.3423,0,0.471475,0.449525002,0.36135,0.486675,0.160249999,0.53605,0.126224998
D-Mannitol,0,0,0.029475,0,0.003325,0,0.030825002,0,0,0,0,0,0.010475,0.006525,0,0,0.366025,0.63235,0.245275,0.015475,0.46555,0.361125,0.46605,0.4598,0.6518,0.04085,0.486125,0.354725,0.05345,0.1982,0.16195,0.162675,0.122875,0.12245,0.201975001,0.0276,0.623125,0.0038,0,0,0.001375,0.04655,0.03345,0,0.2844,0,0.09585,0.37315,0.454175,0,0.040975,0,0.328575,0.23735,0.18025,0.089349998,0.111875,0,0.2122,0.03025,0.0388,0.0119,0.087775,0.041174998,0.036474999,0.200425,0.331925,0.2892,0.2664,0.3155,0.1744,0.097925,0.556525,0,0.102125,0.193,0.095675,0.144575,0.22675,0.16065,0.118925,0.20035,0.0152,0.0957,0.2138,0.117325,0.465525,0.59675,0,0.342125,0.4733,0.317,0,0.384925,0.076200004,0,0.0725,0.403625005,0.293375,0.2825,0.2306,0.3945,0.152274999,0,0.4448,0.4804,0,0.177025,0.0021,0.40065,0.290625002,0.0758,0.441025003,0.009375,0.072924998,0.4678,0,7.50E-05,0.02985,0,0.080974999,0.46652501
D-Mannose,0.134325,0,0.0035,0,0,0,0.032374999,0.0042,0,0.0112,0,0,0.0293,0.0198,0,0.005725,0.4857,0,0.3044,0,0,0,0,0,0,0.06585,0,0,0.03465,0.123800002,0,0.0029,0.0042,0,0,0.035125,0.5429,0.068675,0.065525,0.096225,0.1164,0.183625,0.091775,0,0.5313,0,0.103875,0,0.095275,0.083225,0.04485,0.076325,0.34815,0.2516,0.226975,0.181724997,0.084975,0.367850002,0.297175,0.4181,0.505650001,0.38855,0.45935,0.028124999,0.008825,0.201525,0.33625,0.36695,0.350125,0.383775002,0.19675,0.090275,0.5211,0,0.116075,0.193925,0.121225,0.1975,0.307175,0.200225,0,0.000275,0.07005,0.012625,0.192025,0.21065,0.51285,0.5152,0.230549999,0.3811,0.2568,0.1878,0,0.39425,0.102475003,0,0.1177,0.362449998,0.36995,0.3605,0.09485,0.2481,0.063875,0,0,0.441775,0.053975,0.134824998,0.204275,0.198724996,0.3363,0.208975,0.486725001,0.316825,0,0,0.412374999,0,0.371975,0.0411,0.05335,0.256149999
D-Ribose,0.151625,0.10575,0.309125,0.320975,0.32285,0.352225,0.092374999,0.2258,0.323775,0.392375,0.280375,0.2663,0.34625,0.38055,0.39545,0.32645,0.148675,0.2066,0.2751,0.06785,0.247125,0.3703,0.1882,0.221725,0.316925,0.189025,0.395375,0.1793,0.06985,0.16945,0.23005,0.1643,0.129825,0.204625,0.049675003,0.13545,0.579825,0,0.11535,0.047625,0.098175,0.212725,0.114275,0.001075,0.31265,0,0.046175,0,0.04015,0,0,0.0333,0.340325,0.239625,0.2033,0.088724998,0.236425,0.046675,0.256175,0.21725,0.222125,0.13515,0.163425,0,0.006225,0.136575,0.269275,0.303325,0.28145,0.289075,0.185975,0.113225,0.291125,0,0.05095,0.153725,0.0336,0.21775,0.340675,0.351325,0.224375,0.3144,0.10695,0.0505,0.243375,0.3096,0.067725,0.4106,0.190074999,0.29255,0.366625,0.302325,0.33485,0.29505,0.097274999,0.2851,0.269425,0.2298,0.274625,0.276825,0.16335,0.3543,0.267750003,0.329475,0.21295,0.21335,0.074775,0.238575002,0.3262,0.236049996,0.30675,0.2979,0.389625,0.061475,0,0.214525,0.149699996,0.061925,0.1784,0.149425,0.253074998,0.156349998
Tartaric acid,0.20905,0.2044,0.239475,0.2588,0.2243,0.24355,0.034375,0.201775,0.163225,0.211925,0.2242,0.248025,0.26945,0.280775,0.2817,0.2484,0,0,0.115075,0.09465,0.011025,0,0.15185,0,0.01715,0,0,0.0347,0.067925,0.027900001,0.054525,0,0,0.114175,0.010524999,0.06495,0.219475,0.0147,0.012475,0.005075,0.033475,0.211625,0.04455,0.014475,0.43775,0.032425001,0,0.037375,0.052775,0,0,0.107,0.2038,0,0,0.004725,0.09335,0.0091,0,0.0437,0.109075,0.0382,0.0058,0.075,0.048724999,0.17925,0.00485,0.1679,0.164175,0.024625,0.1548,0.0064,0,0,0.0161,0.023825,0.045975,0.0395,0,0.025975,0,0.107975,0.107625,0.08905,0.136825,0.109675,0.213425,0.20125,0,0,0.186725,0,0.198825,0.143475,0.060350001,0.1259,0.150975,0,0.1729,0.0853,0,0,0.192849999,0.1561,0.03225,0,0.132075,0.195575003,0.125125,0.152050003,0.002499995,0.18625,0.220599996,0.108625,0.015349997,0.001,0.005725,0.112,0.0697,0,0.230825,0.465850006
D-Trehalose dihydrate,0.784075,0.7823,0.789375,0.830325,0.684075,0.74625,0.015400003,0.72565,0.694075,0.811975,0.7299,0.7832,0.807825,0.806675,0.77605,0.78895,0.68905,0.857425,0.3364,0.5684,0.488475,0.58865,0.60945,0.786625,0.710375,0.1521,0.5848,0.262316667,0.230025,0.232625,0.309225,0.262675,0.282625,0.13215,0,0,0.76835,0.005475,0.05175,0.05715,0.096641667,0.794208333,0.0909,0,0.51235,0.037300002,0.135725,0,0.135125,0.18845,0,0,0.607375,0.4949,0.398725,0.19585,0.297675,0.416224999,0.5243,0.6877,0.696275002,0.787475,0.74865,0,0.118349998,0.5261,0.58135,0.57455,0.5274,0.436399999,0.4124,0.28205,0.722125,0,0.103908333,0.209875,0.2063,0.232975,0.404875,0.26965,0.1608,0.5123,0.408083333,0.20755,0.194575,0.45925,0.611975,0.895075,0,0.28085,0.729925,0.604525,0.825874999,0.5414,0.110675,0.605675,0.244975,0.633499995,0.523075,0.7014,0.429325,0.7033,0.658450005,0.73295,0.714425,0.690225,0.101875,0.243125001,0.124125,0.371899994,0.458875,0.2137,0.540500001,0.625975,0,0.7758,0.6315,0.03325,0.58115,0.0275,0.710549997,0.458600026
D-Xylose,0.3847,0,0.355075,0.477125,0.441325,0.428775,0.038325,0,0,0.4447,0,0.4317,0.027075,0.018725,0.47435,0.3502,0.124875,0.336475,0.25395,0,0.24565,0.437525,0.181,0.286025,0.4293,0.08495,0.138425,0.220191667,0.125075,0.125399999,0.08365,0.273275,0.0931,0.072625,0.007150001,0,0.571075,0,0,0,0.049958333,0.029025,0.0217,0,0.183675,0,0.09385,0,0.07735,0.15015,0.000775,0,0.224675,0.22175,0.18785,0.147875001,0.06315,0.341775,0.257575,0.418775,0.41655,0.290233333,0.45495,0.047600002,0.037583332,0.075275,0.360575,0.329425,0.310375,0.351175,0.118275,0.080275,0.454975,0,0.1401,0.23,0.048875,0.19905,0.343875,0.24415,0.34445,0.35725,0,0.08385,0.260375,0.20915,0.002475,0.459775,0,0.08345,0.1264,0,0,0.375625,0.064449999,0,0.071375,0.20145,0.315875,0.041525,0.1968,0.13375,0.00995,0,0,0.35035,0.0265,0.127724999,0.05245,0.217099995,0.313150004,0.1248,0.257475003,0.12295,0,0.289375,0.320050003,0.005375,0.1311,0.084749999,0.059899999,0.075849998
Ethanolamine,0,0.09095,0.0958,0,0.035975,0.045925,0.028799998,0.061825,0.034975,0.061175,0.063025,0.033925,0.03275,0.033125,0.057925,0.070775,0,0.1399,0.005425,0,0.02615,0,0,0,0.014175,0,0,0,0,0.009750001,0,0,0.004475,0,0.059875002,0,0.1757,0,0,0,0.00505,0.0275,0,0,0.0071,0,0,0,0,0,0,0,0.187225,0,0,0,0,0,0,0.02865,0.08335,0.022075,0.007125,0.004825001,0.022949999,0.045775,0.0587,0.020825,0.02935,0.020450001,0,0.069525,0,0.02725,0.0211,0.019875,0,0.04895,0.01575,0.057325,0,0.018225,0.00585,0,0,0.080025,0.1631,0.162725,0,0,0.1179,0.1047,0.10195,0.13035,0.024649997,0.041475,0.118375,0.087900002,0.02675,0.041625,0.01945,0.173025,0.051149997,0.063575,0.0923,0,0.054425,0.080150002,0.056875,0,0.023049998,0.108525,0.035900001,0,0.022550003,0,0,0,0,0,0.0657,0
Formic acid,0,0,0.035225,0,0,0,0.0027,0,0,0,0,0,0.0264,0.0089,0,0,0,0,0.03265,0,0,0,0,0,0,0,0,0,0,0.0283,0,0,0,0,0.008925,0,0.023175,0,0,0,0.01235,0,0,0,0.029125,0.000325002,0,0,0,0,0,0,0.01645,0,0,0,0,0,0,0.025575,0.007525002,0.006175,0.010925,0.000449999,0.024900002,2.50E-05,0.027725,0.01275,0.008225,0.019225,0,0,0,0,0.00495,0.008125,0,0.01285,0,0.02105,0,0.002925,0,0,0,0.019425,0.0022,0.00145,0,0,0,0,0,0,0.023724996,0,0.00635,0,0.0139,0,0,0.014425,0,0,0.00025,0,0.010975,0.057024999,0,0.209849998,0,0.027075,0,0,0,0,0,0,0,0,0.042599999,0.178875007
Fructose,0.081675,0.197,0.4433,0.1465,0.49025,0.335325,0.183375,0.163075,0.39,0.273325,0.5058,0.105925,0.142125,0.332875,0.19765,0.1518,0.28475,0.539275,0.256025,0.455675,0.49335,0.3785,0.41665,0.407175,0.518975,0.062875,0.4479,0.349925,0.1775,0.078399999,0.14115,0.1296,0.1914,0.1095,0.025425,0,0.684525,0.01075,0.046025,0.104975,0.113675,0.5647,0.05285,0,0.83085,0.089299999,0.179025,0.330125,0.2731,0.1344,0.028275,0,0.460575,0.28695,0.2557,0.129724998,0.02125,0.235449998,0.288725,0.3011,0.327124996,0.337225,0.356525,0,0.020291666,0.11655,0.387275,0.352275,0.33515,0.361024999,0.1692,0.11605,0.50665,0,0.12835,0.2287,0.1022,0.2355,0.333425,0.218375,0.017525,0.0505,0.0345,0.02895,0.222925,0.19725,0.3976,0.49735,0.301975001,0.42655,0.43445,0.33575,0.519225,0.3542,0.091400005,0.42155,0.07455,0.410925001,0.34645,0.3767,0.222725,0.4394,0.439349999,0.45605,0.1807,0.53495,0.113975,0.83805,0.0887,0.260641678,0.356550003,0.155325,0.500249999,0.2697,0,0.38535,0.10005,0.049975,0.081325,0.065825002,0.246124998,0.381124996
Fumaric acid,0.009825,0.040025,0.085975,0.057725,0.077975,0.0236,0.068725,0.015675,0,0.080925,0.02865,0.025025,0.085125,0.080175,0.074125,0.04255,0,0.0244,0.03255,0.0192,0.02785,0,0,0,0.037925,0,0.02185,0.022375,0.04805,0.1141,0.01695,0.018775,0.026375,0.04325,0.017874998,0.016575,0.0387,0,0.015125,0,0.007425,0.036175,0.028825,0.08215,0.103975,0.006375004,0,0,0.0092,0.022175,0.0696,0.010325,0.0679,0,0,0.0155,0.024825,0.037599999,0.0047,0.059925,0.060725,0.019125,0.06185,0.106249999,0.060850001,0.077275,0.085075,0.059225,0.05275,0.063950002,0,0.02025,0.01635,0.0206,0.01725,0.0463,0,0.0868,0.02335,0.10315,0,0.00595,0.044275,0.000975,0.0279,0.1104,0.01085,0.058875,0,0.0127,0,0.0078,0.005975,0.02955,0.036700006,0,0.12295,0.037349998,0.04545,0,0.0144,0,0.045324999,0.01305,0.0556,0.026375,0.025975,0.172175004,0.0567,0.143824996,0.062474999,0.122125,0.079574997,0.045975,0.006900003,0.0434,0.0282,0.0021,0.050775,0.035799999,0.0887,0.057475001
Glutaric acid,0.25765,0.314225,0.362925,0.32775,0.31235,0.29665,0.2044,0.292175,0.24745,0.32905,0.30615,0.2702,0.352025,0.335325,0.3509,0.361725,0,0,0.024775,0.068025,0,0.0575,0,0,0.0128,0,0,0,0.0089,0.066700002,0,0,0,0.236275,0,0.05715,0.481675,0,0,0,0.022175,0.005325,0.002225,0.2455,0.392125,0.035549995,0,0.18285,0.246475,0.006325,0.059125,0,0.0762,0,0,0,0,0.013774999,6.00E-04,0.041775,0.032,0.011825,0.0076,0.081775,0.06325,0.0332,0.053225,0.0945,0.083675,0.211100001,0,0.02935,0,0,0.02515,0.01,0,0.07985,0.22785,0.074725,0,0.0174,0.014975,0.005075,0.00755,0.210025,0.185625,0.209725,0,0.13615,0.32405,0.231125,0.28365,0.24055,0.041825003,0.073225,0.074825,0.166649997,0.08335,0.20715,0.155775,0.28765,0.311724998,0.27115,0.36505,0.1232,0.0472,0.347325004,0.04445,0.193524995,0.024174999,0.092075,0.028624998,0,0.035974999,0.334725,0.32875,0,0.00595,0.064850001,0.361024999,0.156625003
L-Glycine,0,0,0.084775,0,0.026075,0.04115,0.022550001,0.0645,0.0233,0.048675,0.12255,0.00235,0.0269,0.052375,0,0.04345,0.0899,0.101525,0.1463,0,0.250375,0.166525,0.139775,0.125275,0.285475,0,0.226625,0.172358333,0.081925,0.033550002,0.137225,0,0,0.034325,0.103475001,0,0.096375001,0,0,0,0,0.03545,0,0.035225,0.056975,0,0,0.048825,0.0919,0,0,0,0.0058,0,0.032075,0.007974998,0,0,0.00745,0,0,0,0,0.043774999,0.061350001,0.000725,0.048675,0.041725,0.058,0.026224998,0,0.019825,0,0.0286,0,0,0,0.007025,0.0141,0.02575,0,0,0,0,0,0.063675,0.057175,0.072575,0,0,0.1258,0.080175,0.121049999,0.006425,0.046574999,0.036575,0.0651,0,0.038725,0.019575,0,0.032025,0.1595,0.13595,0.14855,0.1171,0,0.075675,0.00575,0.158599999,0.065199997,0.117975,0.169749999,0,0.016225001,0.12155,0.005999997,0,0.011975,0,0.220000001,0
Glycolic acid,0,0,0.01895,0.016425,0.0022,0,0,0,0,0,0,0,0.0102,0.007575,7.00E-04,0,0,0,0.0368,0.023425,0,0,0,0,0,0,0,0,0,0.029725001,0,0,0,0.003475,0.000799998,0.02835,0.07105,0,0.0288,0,0.013525,0.083625,0,0.150525,0.24185,0.019250009,0.008025,0.02345,0.003825,0,0.11715,0.037475,0.1148,0,0,0,0.069425,0.004799997,0,0.0411,0.027975,0.06315,0,0.031899999,0.065374998,0.12415,0.032325,0.02085,0.01385,0.0499,0,0.014,0,0,0.0244,0.027675,0,0.0529,0.01765,0.058575,0.003725,0.064925,0.08755,0.02265,0.09045,0.1185,0.068375,0.0321,0,0,0,0,0.0099,0,0,0,0.062675,0,0.00865,0,0,0,0,0.0253,0,0.044825,0.081625,0.259474999,0.111325,0.106600002,0.015899998,0.012375,0.085824997,0.019725,0.011824995,0,0.006725002,0.054725,0.0419,0.020324998,0.014600001,0
H2O,0,0.02915,0.0305,0.012425,0.0209,0,0.036475,0.0078,0,0.009675,0,0,0.036575,0.0309,0.0183,0,0,0,0.035275,0,0.004775,0,0,0,0.017075,0,0,0,0,0.001975,0,0.0059,0,0,0.01625,0,0.013825,0,0,0,0.005975,0,0,0.001525,0.012725002,0,0,0,0,0,0,0,0.01835,0,0,0,0,0,0,0.03525,0.061125002,0.02155,0.011525,0.079399998,0.061499998,0.023475,0.04945,0.017175,0.011925,0.016650002,0,0.01095,0,0,0.034975,0.010575,0,0.02475,0,0.038025,0,0,0.009625,0,0,0.066075,0,0.0309,0,0,0,0,0,0,0.008049995,0,0.072375,0.007524998,0.019,0,0,0,0.023225004,0,0.007375,0,0.0242,0.10655,0.018875,0,0.01335,0.090775,0.023899997,0,0.035550002,0,0,0.0262,0,0,0.0257,0
Inosine,0,0,0.0337,0.010225,0.026075,0,0.043825,0.012025,0,0.0221,0,0,0.023325,0.02315,0.030175,0,0,0.0221,0.0971,0,0.05535,0.005325,0.0058,0,0.085875,0.0496,0.0101,0,0,0.03885,0,0.0349,0.04605,0.0381,0.034549999,2.50E-05,0.04285,0,0.003925,0.014025,0.055175,0.035675,0.0344,0.0028,0.022350002,0,0.0018,0,0,0.01375,0,0,0.064375,0,0,0,0,0,0,0.041525,0.078049999,0.0186,0.0261,0.049474999,0.071049998,0.033225,0.078375,0.045925,0.03445,0.0619,0,0.0349,0.021075,0.0123,0.04825,0.05675,0,0.082975,0,0.082375,0.007875,0.02195,0.021225,0,0.0301,0.087025,0,0.026125,0,0,0,0,0,0.02655,0.104900002,0,0.096225,0.0389,0.036075,0,0.013525,0,0.033324999,0,0.01395,0.01895,0.0445,0.115149996,0.049575,0.249325,0.042574999,0.11445,0.08785,0,0.005000003,0.012375,0,0.0078,0.020975,0.004400001,0.06835,0.074200003
L-Inositol,0,0,0.020775,0.004,0.0015,0,0.031950001,0.01025,0,0.006625,0,0,0.0234,0.02365,0.0029,0,0.25965,0.310025,0.214375,0,0.418025,0.255225,0.39315,0.349516667,0.566575,0.2197,0.40055,0.088583333,0.0547,0.091850001,0.212425,0.160475,0.130425,0.128225,0.01605,0,0.512275,0,0,0.00125,0.0358,0.003025,0.021125,0,0.20355,0.001950003,0.12315,0,0,0.158725,0.01275,0.0222,0.2776,0.353075,0.30885,0.08135,0,0.002100002,0,0.027825,0.056950001,0.0137,0.1298,0.059475,0.085149999,0.116975,0.27535,0.240025,0.235325,0.1137,0.2486,0.011225,0.0969,0.00375,0.016025,0.009625,0.008525,0.071425,0.182975,0.0736,0.01635,0.04545,0.016775,0.04065,0.05865,0.19875,0.3195,0.503975,0,0.3984,0.4172,0.341925,0,0.34475,0.067724999,0,0.12895,0.391599999,0.2794,0.300475,0.207075,0,0.425275002,0,0,0.442975,0,0.069174997,0.03465,0.007224999,0.249925004,0.10185,0.417074999,0.00885,0.033424996,0.03105,0.076,0,0.01355,0.02445,0.497649999,0
L-Alanine,0.231775,0.251475,0.3119,0.2622,0.143825,0.201325,0.134600002,0.0095,0.11725,0.008775,0,0,0.2954,0.2809,0.2928,0.2235,0.0865,0.287375,0.2335,0.01785,0.318,0.17595,0,0,0.3211,0.00445,0.3265,0,0.10655,0.049050001,0.1803,0.0087,0.10275,0.20605,0.108700001,0.12205,0.298875001,0,0.037575,0.0024,0.00945,0,0.046125,0,0.424275,0.035949997,0.02035,0,0.095925,0.052575,0.073425,0,0.250425,0.132275,0.107775,0.104249999,0,0.020800002,0.1658,0.1536,0.057975,0.0626,0.0271,0.004000002,0.2897,0.133275,0.214975,0.198575,0.159725,0.191850001,0.0545,0.034175,0.212575,0.01285,0.09045,0.088625,0,0.031175,0.141925,0.033175,0,0.015825,0.05325,0,0,0.0698,0.22635,0.18065,0.019800002,0.120925,0.181775,0,0,0,0.075949996,0.115275,0.099675,0.175074999,0.201875,0.08745,0.0902,0.211475,0.182249999,0.2003,0.173125,0.19475,0.08275,0.369049997,0.16415,0.165924993,0.186549998,0.29985,0.2507,0.05725,0,0.1477,0.176224998,0.018625,0.160825,0.04365,0.2348,0
L-Arabinose,0.1735,0,0.037925,0.222725,0.23225,0.2502,0.051675001,0.10555,0.195925,0.371975,0.150125,0.146075,0.248025,0.30985,0.37175,0.31965,0.239575,0.53335,0.225325,0,0.481275,0.2838,0.14955,0.323725,0.3221,0.086725,0.38815,0.177125,0.180525,0.143350002,0.18665,0.1279,0.1998,0.0314,0,0.0228,0.38335,0,0.03275,0,0.09245,0.061075,0.02185,0.012525,0.23845,0.013374999,0.117625,0,0.089025,0.130475,0.009025,0,0.305675,0.199575,0.138825,0.133199996,0.046025,0.345774997,0.302425,0.423325,0.434574999,0.360375,0.41595,0.0808,0.040608334,0.03535,0.3446,0.2866,0.249775,0.265799999,0.10905,0.072275,0.41985,0,0.148875,0.20505,0.04025,0.13495,0.2746,0.229425,0.072625,0.3491,0.015675,0.07065,0.18075,0.2197,0.231975,0.1992,0,0.18315,0.291325,0.11445,0.169075,0.305575,0.0616,0.1252,0.069975,0.344625,0.241825,0.16425,0.132375,0.2842,0.121650001,0.162825,0.184025,0.334375,0.054675,0.192249999,0.01595,0.192925006,0.289150003,0.080125,0.332499997,0.13775,0.020774998,0.2511,0.325974999,0,0.1078,0.077049999,0.189000001,0.258808323
L-Arginine,0.310075,0.319875,0.32795,0.32695,0.175325,0.2753,0.016925001,0.256225,0.271475,0.306625,0.25955,0.293925,0.31355,0.34005,0.326025,0.330275,0.14235,0.326175,0.306,0.114975,0.291825,0.175375,0.256275,0.203275,0.408275,0.103925,0.273825,0.141525,0.1025,0.007525001,0.18075,0.074575,0.123975,0.1193,0.162849999,0.2911,0.305774999,0.007025,0.020675,0.038175,0.099375,0.303575,0.02675,0,0.07085,0.008824996,0,0,0,0.02115,0,0,0.2095,0.02385,0.179675,0.021674997,0.3113,0.019224998,0.00155,0.077175,0.153349999,0.083475,0.096175,0.000850001,0.127925002,0.240525,0.0676,0.279575,0.2719,0.129575002,0.0113,0.0161,0.256475,0.225575,0.034475,0.1013,0,0.085325,0.14455,0.098525,0,0.087875,0.05715,0.08235,0.2521,0.11835,0.20505,0.22405,0,0.188275,0.284175,0.15965,0.289324997,0.186525,0.034174997,0.17935,0.1109,0.273274999,0.2821,0.150675,0.181525,0.230875,0.260749999,0.273875,0.2424,0.15605,0.0498,0.063975,0.079425,0.222350001,0.303824999,0.12445,0.223874999,0,0,0.276625,0,0,0.026325,0,0.33465,0
Ascorbic acid,0,0,0.023125,0,0.003775,0,0.013449999,0.0029,0,0,0,0,0.007175,0,9.00E-04,0,0,0.0097,0.057925,0,0.008175,0,0,0,0.05125,0,0,0,0.018675,0.03305,0,0.0031,0.00705,0.007925,0.000775001,0,0.0151,0,0,0,0.004975,0,0,0,0.074725,0,0,0,0,0,0,0,0.024425,0,0.0233,0,0,0,0,0.05825,0.039525002,0.016975,0.01395,0.062075,0.023775,0.013475,0.06045,0.057975,0.059925,0.055524999,0,0.024775,0,0,0.04425,0.008,0,0.0256,0,0.047025,0,3.00E-04,0,0,0.004525,0.057475,0,0.003075,0,0,0,0,0,0,0.046949998,0,0.075925,0,0.03775,0,0,0,0.026000001,0,0.01215,0,0.014475,0.091150002,0,0.106774999,0.028025001,0.078575,0.018125001,0,0,0,0,0,0,0,0.041675001,0.233700007
L-Asparagine,0.18525,0.201375,0.2655,0.217475,0.145675,0.144375,0.166074998,0.1194,0.104175,0.238325,0.174625,0.1342,0.267275,0.263175,0.2689,0.20635,0.0639,0.1841,0.218725,0.0697,0.211725,0.1418,0.105775,0.118175,0.237,0.032275,0.191025,0.126275,0.157825,0.0311,0.092925,0.05645,0.06655,0.138725,0.097375,0.06795,0.2028,0.032125,0.0823,0.0586,0.093875,0.107775,0.133375,0.329425,0.3529,0.027174998,0.01865,0.0986,0.0988,0.052525,0.24395,0.007875,0.209525,0.095025,0.0919,0.104800002,0.131625,0.036025001,0.010575,0.18485,0.179674998,0.0703,0.13285,0.0578,0.3037,0.141175,0.1799,0.151175,0.1721,0.219800001,0.0467,0.06475,0.2233,0.051975,0.099625,0.13955,0,0.2166,0.1953,0.21705,0,0.0253,0.12005,0.01125,0.009225,0.282575,0.176875,0.174075,0.081725002,0.142375,0.165325,0.109825,0.192175002,0.151725,0.046000004,0.114225,0.110325,0.154225003,0.206625,0.115825,0.126325,0.14135,0.12255,0.148975,0.164475,0.142325,0.11905,0.427874998,0,0.19347499,0.106875001,0.049775,0.269250002,0.106,0.054424994,0.13425,0.171049999,0,0.11295,0.1341,0.197025,0
L-Aspartic Acid,0.0041,0.034325,0.099525,0.0279,0.066,0.026025,0.048525,0.01335,0,0.062525,0,0.021275,0.061275,0.07295,0.060225,0.02425,0,0.02865,0.06755,0,0.0139,0.00075,0,0.012925,0.06785,0,0.008275,0.02885,0.0338,0.09545,0.0276,0.020475,0.04085,0.028475,0.042025002,0,0.03105,0,0,0,0.012875,0.00975,0.018975,0.02735,0.08295,0.010274999,0,0,0,0.03145,0.0476,0,0.052625,0,0.0071,0.023850001,0,0,0.0089,0.079325,0.049774999,0.01425,0.02355,0.086550003,0.069208335,0.041625,0.084675,0.0807,0.07575,0.089249999,0.005025,0.025675,0.00555,0,0.0306,0.0231,0,0.0791,0.008525,0.094325,0,0.008525,0.01765,0.003175,0,0.105675,0,0.035125,0,0.010525,0.00905,0,0,0.013775,0.038325004,0,0.0691,0.014574999,0.0592,0,0,0,0.014125,0.004,0.013075,0.0143,0.02,0.138650001,0.0545,0.126625001,0.090700003,0.15375,0.100074998,0.0451,0.049074999,0.002,0,0,0.05605,0.050975,0.08635,0.455524997
Citrulline,0.028975,0.0458,0.033575,0,0.009975,0,0.015600001,0.012525,0,0.0189,0,0,0.028025,0.0243,0.012875,0.0021,0.02305,0.083625,0.13195,4.00E-04,0.029625,0.01515,0,0.0425,0.2006,0.12955,0.082375,0.0016,0.050775,0.009474999,0.12635,0.12805,0.1331,0.097825,0.081925003,0.00925,0.444075001,0,0.001225,0.0019,0.10785,0.0167,0,0.01265,0.12155,0.0266,0,0,0,0,0,0,0.3046,0.010625,0.036525,0.032074999,0,0,0.010675,0.1784,0.1664,0.061125,0.132875,0.0059,0.00675,0.006625,0.067925,0.04755,0.044725,0.138699999,0,0.03625,5.00E-05,0.0444,0.089175,0.04,0.0199,0.132025,0.289875,0.13605,0,0,0.052175,0,0,0.25935,0,0.079275,0,0,0.0061,0.164725,0.361025001,0.01575,0.037650004,0.227125,0.1004,0.043474998,0.054975,0.20095,0,0,0.309649996,0.092925,0.072175,0.195875,0.01795,0.225700001,0.0256,0.187574999,0.040224996,0.120875,0.134274998,0.031,0,0,0.152924999,0,0.038275,0.105025,0.398674998,0
