ne_id	ba_id	ne_volume_um3	ne_volume_um3_OP50	ne_dryweight_ug	ne_preference	ne_clearance	lfc_spx_over_op50	lfc_spx_over_op50_cl95	spx_over_total	spx_over_total_cl95	mn_spx	cl95_spx	mn_op50	cl95_op50	nreps
C.elegans	ACH1	3435236.042	3522554.673	3.6495	0.4625	0.331666667	-0.1818976431083883	0.5671812354001997	0.4685212298682284	0.09789545094789255	40	12.065624999999997	45.375	11.440624999999997	8
C.elegans	ACH2	1900306.014	3522554.673	2.0195	0.38375	0.511666667	-0.6672365037506988	0.48456475425199913	0.38639455782312926	0.07963380851481695	35.5	8.439062499999999	56.375	13.376562499999999	8
C.elegans	ACI1	3117083.883	3522554.673	3.312	0.58625	0.53	0.5413012719250165	0.3724507909483287	0.5927152317880795	0.06232160342545676	22.375	4.626562499999999	15.375	2.3765624999999986	8
C.elegans	ACI10	2031598.187	3522554.673	2.159	0.5675	0.288333333	0.4639470997597903	0.31325948977370366	0.5797101449275363	0.05290412124753959	30	5.940624999999997	21.75	1.9375	8
C.elegans	ACI11	2388062.469	3522554.673	2.538	0.5225	0.465	0.16664986940945128	0.4848862963273924	0.5288461538461539	0.083744725311673	41.25	10.440624999999997	36.75	8.126562499999999	8
C.elegans	ACI2	3550826.64	3522554.673	3.773	0.62625	0.35	0.7240994184082519	0.7156587350108268	0.6229074889867842	0.11652064962789808	88.375	29.956249999999983	53.5	19.3765625	8
C.elegans	ACI3	2601470.423	3522554.673	2.764	0.44	0.571666667	-0.3514723705013777	0.4836650256785639	0.4393939393939394	0.08258135340980767	54.375	12.001562499999999	69.375	17.506249999999994	8
C.elegans	ACI4	1568326.174	3522554.673	1.666842105	0.4775	0.518333333	-0.11467860403619454	0.2594865540811575	0.48013816925734026	0.044894639013616226	34.75	5.314062499999999	37.625	3.5625	8
C.elegans	ACI5	3292088.098	3522554.673	3.498	0.585	0.388333333	0.5305147166987798	0.790457330147966	0.5909090909090909	0.13244769124001143	71.5	27.131249999999994	49.5	19.5640625	8
C.elegans	ACI6	2771814.646	3522554.673	2.944	0.6525	0.273333333	0.9453229073796857	0.5759622715376993	0.6581920903954802	0.08981611468655157	29.125	7.753124999999997	15.125	4.5	8
C.elegans	ACI7	4797484.734	3522554.673	5.097	0.67	0.311666667	1.0228838906733384	0.42041776516493023	0.6701821668264621	0.06441299927905933	87.375	13.067187499999996	43	10.754687499999996	8
C.elegans	ACI8	3474089.696	3522554.673	3.6905	0.63375	0.346666667	0.7443994459370434	0.4030003535542986	0.6262068965517241	0.06538528465577455	56.75	7.75	33.875	8.254687499999996	8
C.elegans	ACI9	416034.379	3522554.673	0.442	0.705	0.383333333	1.4184233141182259	0.44326517137661603	0.7277379733879222	0.06087671088350318	88.875	24.26249999999999	33.25	4.6875	8
C.elegans	ADV1	2107929.109	3522554.673	2.2405	0.33625	0.24	-0.9678195942508503	0.4048446770178246	0.3383084577114428	0.06281774370930929	25.5	6	49.875	7.626562499999999	8
C.elegans	ART1	255889.603	3522554.673	0.2715	0.29625	-0.03	-1.1261087691498228	0.5389998006890653	0.31419939577039274	0.08050396568805791	13	4.3125	28.375	4.876562499999999	8
C.elegans	ART2	190872.9285	3522554.673	0.2015	0.37375	0.061666667	-0.6745997132058326	0.5801526062498357	0.3851851851851852	0.09523171547623317	13	4.0625	20.75	5.251562499999999	8
C.elegans	ART3	1210730.698	3522554.673	1.286	0.365	0.368333333	-0.8427602581888028	0.7349837555029128	0.35797665369649806	0.1170870128765344	57.5	23.25937499999999	103.125	31.9375	8
C.elegans	ART4	3843038.329	3522554.673	4.0845	0.7375	0.29	1.4834437408911398	0.5012379943329207	0.7365754812563323	0.0674128825882913	90.875	19.945312499999993	32.5	8.753124999999997	8
C.elegans	ART5	430851.7842	3522554.673	0.456315789	0.31125	0.095	-1.2121149421406208	0.3194832444492536	0.301498127340824	0.04663647757650312	20.125	2.75	46.625	8.125	8
C.elegans	ART6	215917.0145	3522554.673	0.2305	0.4025	0.316666667	-0.5849625007211563	0.4656837326438386	0.4	0.07746896791552993	28.25	6.4375	42.375	9.6875	8
C.elegans	ART7	441006.593	3522554.673	0.4685	0.36125	0.275	-0.7762250246134331	0.45002726638305135	0.3686440677966102	0.07260153514522613	54.375	14.320312499999993	93.125	15.567187499999996	8
C.elegans	ART8	227464.6	3522554.673	0.2415	0.3825	0.08	-0.6844981742720706	0.5628612573722394	0.3835616438356164	0.09224687069401982	10.5	2.8765624999999986	16.875	4.6875	8
C.elegans	ART9	246504.5795	3522554.673	0.2615	0.4125	0.16	-0.5323478745577344	0.2921116109177952	0.40878378378378377	0.048934401128352685	30.25	4.251562499999999	43.75	6.376562499999999	8
C.elegans	BAC1	2140983.513	3522554.673	2.2745	0.51125	0.273333333	-0.04580368961312479	0.5564219360103013	0.49206349206349204	0.09639628061931686	23.25	3.6875	24	8.4375	8
C.elegans	BAC2	204252.0155	3522554.673	0.2165	0.63125	0.205	0.9548005805699036	1.099136239932531	0.6596685082872928	0.17104283159231587	74.625	38.26874999999998	38.5	21.692187499999996	8
C.elegans	BAC3	2300197.505	3522554.673	2.4445	0.48875	0.363333333	-0.07381123896159826	0.3836518090367784	0.48721227621483376	0.06643830646329685	47.625	9.001562499999999	50.125	9.376562499999999	8
C.elegans	BAC4	31958.2555	3522554.673	0.033	0.55875	0.121666667	0.14611175950631078	0.8682926687371805	0.5252976190476191	0.15007848519408476	88.25	30.754687499999996	79.75	39.13281249999999	8
C.elegans	BAC5	2621929.627	3522554.673	2.7855	0.34125	-0.135	-0.963971690815786	0.4252931911236689	0.33890577507598785	0.06604747567635381	27.875	6.064062499999999	54.375	10.817187499999996	8
C.elegans	BAC6	2893472.789	3522554.673	3.0745	0.60125	0.081666667	0.5514099410101295	0.4516137446242089	0.5944055944055944	0.07546880206253415	42.5	7.625	29	7.439062499999999	8
C.elegans	BAC7	2451151.862	3522554.673	2.605	0.42125	0.248333333	-0.45206823022381076	0.31347513701678476	0.4222972972972973	0.053009201608723605	31.25	4.9375	42.75	6.376562499999999	8
C.elegans	BAC8	1907183.309	3522554.673	2.0275	0.28125	0.188333333	-1.3241982685121894	0.38790112048668585	0.2853932584269663	0.05483493261610471	15.875	3.565624999999997	39.75	5.875	8
C.elegans	BOR1	3299078.511	3522554.673	3.506	0.33375	0.345	-0.95166398685437	0.4176073317511232	0.34081976417742843	0.06503131333931393	75.875	17.9390625	146.75	24.507812499999993	8
C.elegans	BRE1	181455.9725	3522554.673	0.1925	0.115	0.053333333	-2.945101753851102	0.2504522771263674	0.11492537313432835	0.017658192983963494	19.25	3.0015624999999986	148.25	11.314062500000006	8
C.elegans	BRE2	231079.4275	3522554.673	0.245	0.66125	0.036666667	0.8554492102586492	0.6635807322061481	0.6440422322775264	0.10544647096578869	53.375	11.003124999999997	29.5	12.129687499999996	8
C.elegans	BUR1	137342.381	3522554.673	0.146	0.37	0.045	-0.7520724865564145	0.5096584298040744	0.37254901960784315	0.08257867306025382	26.125	7.064062499999999	44	10.003124999999997	8
C.elegans	CHR1	485812.3135	3522554.673	0.516	0.49625	0.121666667	0.021437170662291755	0.3338737076313756	0.5037147102526003	0.05785271134570293	42.375	8.189062499999999	41.75	5.315624999999997	8
C.elegans	CHR2	525389.349	3522554.673	0.5595	0.75125	0.09	1.7882266096835486	0.8942417745754647	0.7754777070063694	0.10792180530232917	60.875	22.003124999999997	17.625	8.875	8
C.elegans	CHR3	733378.983	3522554.673	0.7785	0.815	0.15	2.170862120696366	0.32815998867924984	0.8182784272051009	0.03382351029076232	96.25	15.759374999999991	21.375	3.375	8
C.elegans	CHR4	922424.5535	3522554.673	0.979	0.685	-0.058333333	1.0917425686275757	0.6952328623427468	0.6806451612903226	0.10474903132317205	52.75	15.878124999999997	24.75	9.314062499999999	8
C.elegans	CHR5	398812.477	3522554.673	0.424	0.46875	0.056666667	-0.17730453180790992	0.29043830539965476	0.4693140794223827	0.05013955834104164	32.5	4.25	36.75	5.625	8
C.elegans	CHR6	381435.0815	3522554.673	0.4055	0.48625	0.065	-0.0850677145228957	0.2571774141921371	0.48526315789473684	0.04452673596784178	115.25	13.75	122.25	16.192187500000003	8
