VOC_id	CLID_0.7	CLID_0.8	CLID_0.9
VOC_141	cut70_141	cut80_141	cut90_141
VOC_153	cut70_153	cut80_153	cut90_153
VOC_155	cut70_155	cut80_155	cut90_155
VOC_157	cut70_157	cut80_157	cut90_157
VOC_158	cut70_158	cut80_158	cut90_158
VOC_160	cut70_160	cut80_160	cut90_160
VOC_164	cut70_164	cut80_164	cut90_164
VOC_175	cut70_175	cut80_175	cut90_175
VOC_177	cut70_177	cut80_177	cut90_177
VOC_179	cut70_179	cut80_179	cut90_179
VOC_189	cut70_189	cut80_189	cut90_189
VOC_190	cut70_190	cut80_190	cut90_190
VOC_194	cut70_194	cut80_194	cut90_194
VOC_208	cut70_208	cut80_208	cut90_208
VOC_209	cut70_209	cut80_209	cut90_209
VOC_212	cut70_212	cut80_212	cut90_212
VOC_214	cut70_214	cut80_214	cut90_214
VOC_215	cut70_215	cut80_215	cut90_215
VOC_217	cut70_217	cut80_217	cut90_217
VOC_218	cut70_218	cut80_218	cut90_218
VOC_219	cut70_219	cut80_219	cut90_219
VOC_223	cut70_223	cut80_223	cut90_223
VOC_226	cut70_226	cut80_226	cut90_226
VOC_230	cut70_230	cut80_230	cut90_230
VOC_232	cut70_232	cut80_232	cut90_232
VOC_235	cut70_235	cut80_235	cut90_235
VOC_236	cut70_236	cut80_236	cut90_236
VOC_237	cut70_237	cut80_237	cut90_237
VOC_241	cut70_241	cut80_241	cut90_241
VOC_242	cut70_242	cut80_242	cut90_242
VOC_245	cut70_245	cut80_245	cut90_245
VOC_246	cut70_246	cut80_246	cut90_246
VOC_248	cut70_248	cut80_248	cut90_248
VOC_250	cut70_250	cut80_250	cut90_250
VOC_251	cut70_251	cut80_251	cut90_251
VOC_252	cut70_252	cut80_252	cut90_252
VOC_253	cut70_253	cut80_253	cut90_253
VOC_259	cut70_259	cut80_259	cut90_259
VOC_260	cut70_260	cut80_260	cut90_260
