spe.ID	VOC_id	VOC_counts	VOC_name
ACH1	VOC_051	0	2-(Trimethylacetyl)thiophene
ACH1	VOC_052	0	2-Amino-4-methyl-oxazole
ACH1	VOC_053	0	2-Butanamine, 3,3-dimethyl-
ACH1	VOC_054	0	2-Butene ozonide
ACH1	VOC_055	0	2-Butenoic acid, 2-methyl-, 1-methylethyl ester, (Z)-
ACH1	VOC_056	0	2-Butenoic acid, 3-methyl-, 2-methylpropyl ester
ACH1	VOC_057	0	2-Chloro 5-chloromethylthiophene
ACH1	VOC_058	0	2-Chlorobenzimidazole
ACH1	VOC_059	0	2-Decene, 7-methyl-, (Z)-
ACH1	VOC_060	0	2-Ethyl-1-hexanol, methyl ether
ACH1	VOC_061	0	2-Ethyl-1-hexanol, trifluoroacetate
ACH1	VOC_062	0	2-Heptanol, 5-ethyl-
ACH1	VOC_063	0	2-Hexanone, 3-methyl-4-methylene-
ACH1	VOC_064	0	2-Hexenoic acid
ACH1	VOC_065	0	2-Hexenoic acid, 3-hexenyl ester, (E,Z)-
ACH1	VOC_066	0	2-Hydroxy-2,5-dimethyl-hept-6-en-3-one
ACH1	VOC_067	0	2-Isopropenyl-3-methylpyrazine
ACH1	VOC_068	0	2-Isopropoxyethylamine
ACH1	VOC_069	0	2-Isopropyl-5-oxohexanal
ACH1	VOC_070	0	2-Isopropylpyrazine
ACH1	VOC_071	0	2-Methoxy-3-methyl-butyric acid, methyl ester
ACH1	VOC_072	0	2-Naphthalenecarboxaldehyde, 3-hydroxy-5-methyl-8-(1-methylethyl)-
ACH1	VOC_073	0	2-Octanol, 3-methyl-
ACH1	VOC_074	0	2-Pentene, 5-butoxy-, (E)-
ACH1	VOC_075	0	2-Propanol, 1-isopropoxy-2-methyl-
ACH1	VOC_076	0	2-Propanone, 1,1-dipropoxy-
ACH1	VOC_077	0	2-Propenoic acid, 2-methyl-, propyl ester
ACH1	VOC_078	0	2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester
ACH1	VOC_079	0	2-Propenoic acid, ethenyl ester
ACH1	VOC_080	0	2-Propyl-1-pentanol
ACH1	VOC_081	0	2-Propyl-1-pentanol, methyl ether
ACH1	VOC_082	0	2-Propyn-1-amine, N,N-di-2-propynyl-
ACH1	VOC_083	0	2-Propyn-1-ol, acetate
ACH1	VOC_084	0	2-Pyrazoline, 1-butyl-5-methyl-
ACH1	VOC_085	0	2-Pyrazoline, 4-ethyl-1-methyl-
ACH1	VOC_086	0	3,4-Dichloro-1,2,5-thiadiazole
ACH1	VOC_087	0	3,4-Hexanedione, 2,2,5-trimethyl-
ACH1	VOC_088	0	3,5-Dimethyl-4-octanone
ACH1	VOC_089	0	3,5-Dimethyldodecane
ACH1	VOC_090	0	3,5-Heptanedione, 2,4,6-trimethyl
ACH1	VOC_091	0	3-Butoxy-2,4-dimethyl-1-pentene
ACH1	VOC_092	0	3-Decene, 2,2-dimethyl-, (E)-
